Query Name,Estimated Rows,Actual Rows,Difference,Relation Name,Node Type,Join Type,Scan Direction,Parent Node Type
10a.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
10a.sql :,2,35,-33,XXX,Nested Loop,Inner,XXX,Aggregate
10a.sql :,2,35,-33,XXX,Nested Loop,Inner,XXX,Nested Loop
10a.sql :,4,37,-33,XXX,Nested Loop,Inner,XXX,Nested Loop
10a.sql :,11,92,-81,XXX,Nested Loop,Inner,XXX,Nested Loop
10a.sql :,1835,29496,-27661,XXX,Hash Join,Inner,XXX,Nested Loop
10a.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
10a.sql :,756,8625,-7869,XXX,Hash,XXX,XXX,Hash Join
10a.sql :,756,8625,-7869,XXX,Hash Join,Inner,XXX,Hash
10a.sql :,9069,10763,-1694,cast_info,Seq Scan,XXX,XXX,Hash Join
10a.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
10a.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
10b.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
10b.sql :,52,0,52,XXX,Hash Join,Inner,XXX,Aggregate
10b.sql :,52,0,52,XXX,Nested Loop,Inner,XXX,Hash Join
10b.sql :,107,0,107,XXX,Nested Loop,Inner,XXX,Nested Loop
10b.sql :,700,0,700,XXX,Hash Join,Inner,XXX,Nested Loop
10b.sql :,8400,4738,3662,XXX,Hash Join,Inner,XXX,Hash Join
10b.sql :,597391,478480,118911,cast_info,Seq Scan,XXX,XXX,Hash Join
10b.sql :,6296,2930,3366,XXX,Hash,XXX,XXX,Hash Join
10b.sql :,6296,2930,3366,XXX,Hash Join,Inner,XXX,Hash
10b.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
10b.sql :,801,454,347,XXX,Hash,XXX,XXX,Hash Join
10b.sql :,801,454,347,company_name,Seq Scan,XXX,XXX,Hash
10b.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
10b.sql :,1,0,1,char_name,Index Scan,XXX,Forward,Nested Loop
10c.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
10c.sql :,175521,3,175518,XXX,Hash Join,Inner,XXX,Aggregate
10c.sql :,175521,3,175518,XXX,Hash Join,Inner,XXX,Hash Join
10c.sql :,175521,3,175518,XXX,Nested Loop,Inner,XXX,Hash Join
10c.sql :,360932,260701,100231,XXX,Hash Join,Inner,XXX,Nested Loop
10c.sql :,597391,478480,118911,cast_info,Seq Scan,XXX,XXX,Hash Join
10c.sql :,270546,198750,71796,XXX,Hash,XXX,XXX,Hash Join
10c.sql :,270546,198750,71796,XXX,Hash Join,Inner,XXX,Hash
10c.sql :,726222,583011,143211,title,Seq Scan,XXX,XXX,Hash Join
10c.sql :,392498,384599,7899,XXX,Hash,XXX,XXX,Hash Join
10c.sql :,392498,384599,7899,XXX,Hash Join,Inner,XXX,Hash
10c.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
10c.sql :,49908,28281,21627,XXX,Hash,XXX,XXX,Hash Join
10c.sql :,49908,28281,21627,company_name,Seq Scan,XXX,XXX,Hash
10c.sql :,1,0,1,XXX,Memoize,XXX,XXX,Nested Loop
10c.sql :,1,0,1,char_name,Index Scan,XXX,Forward,Memoize
11a.sql :,1,310,-309,XXX,Nested Loop,Inner,XXX,Aggregate
11a.sql :,1,1292,-1291,XXX,Gather,XXX,XXX,Nested Loop
11a.sql :,1,431,-430,XXX,Nested Loop,Inner,XXX,Gather
