attname,n_distinct,most_common_vals,most_common_freqs,histogram_bounds,correlation
id,-1.0,,,"{14,25010,51956,78419,102227,128606,154450,178943,204504,226981,251014,277402,301601,327525,351819,377341,400729,427101,451733,477593,507112,534129,559133,585781,611767,637506,662739,689246,715657,741885,765505,791024,817140,842809,867842,892101,919094,944216,970880,995923,1022911,1047725,1071758,1095332,1118705,1144268,1171472,1196531,1222234,1248798,1272451,1297092,1321605,1347004,1370148,1397471,1419966,1446452,1472976,1500232,1528058,1554141,1579688,1602294,1626237,1651964,1676269,1703167,1727046,1755253,1779253,1803224,1826992,1850415,1874772,1902271,1927185,1951935,1974935,1999426,2023521,2051286,2076995,2104191,2129304,2151506,2175681,2201435,2228185,2252977,2277903,2305359,2329463,2354176,2377879,2401152,2425800,2451634,2477285,2503054,2528282}",0.99811363
imdb_index,8.0,"{I,II,III}","[0.004766667, 0.0042333333, 0.0009]","{IV,IV,V,V,XIV}",0.36567906
kind_id,6.0,"{7,1,4,3,2,6}","[0.6077, 0.26513332, 0.045, 0.041733332, 0.035033334, 0.0054]",,-0.40172678
imdb_id,0.0,,,,
production_year,121.0,"{2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2013,2001,2002,2000,1999,1998,1997,1995,1996,1994,1992,1991,1993,1990,1989,1985,1987,1986,1988,1984,1966,1979,1970,1969,1975,1971,1981,1980,1974,1982,1965,1968,1976,1967,1973,1978,1983,1977,1972,1964,1958,1913,1959,1957,1961,1960,1962,1963,1912,1956,1915,1955,1954,1914,1951,1953,1952,1911,1916,1920,1921,1917,1938,1910,1949,1919,2014,1929,1950,1909,1933,1948}","[0.0638, 0.061833333, 0.055366665, 0.052333333, 0.050433334, 0.0467, 0.041733332, 0.0372, 0.03203333, 0.026833333, 0.0255, 0.024233334, 0.0239, 0.020966666, 0.018566666, 0.0182, 0.014966667, 0.0149, 0.0138, 0.0132, 0.0107, 0.0103, 0.0101333335, 0.009666666, 0.008933334, 0.008, 0.008, 0.0076666665, 0.0069, 0.006733333, 0.0062666666, 0.0062666666, 0.0062, 0.0059, 0.0058, 0.0057666665, 0.0057333335, 0.0056666667, 0.0056, 0.005566667, 0.0055333334, 0.0055333334, 0.0055, 0.0054666665, 0.0053666667, 0.0053333333, 0.0052, 0.005133333, 0.0050666668, 0.0048, 0.004766667, 0.0043666665, 0.004333333, 0.0042666667, 0.0042333333, 0.0042, 0.0041, 0.0040666666, 0.0037333334, 0.0036333334, 0.0031666667, 0.0031333333, 0.0029666666, 0.0029333334, 0.0028333333, 0.0028333333, 0.0023333333, 0.0022666666, 0.0022666666, 0.0019333333, 0.0019, 0.0017333333, 0.0016333334, 0.0014666667, 0.0014666667, 0.0014333334, 0.0013666666, 0.0013333333, 0.0013333333, 0.0012333334, 0.0012333334, 0.0012333334]","{1895,1897,1898,1900,1900,1901,1902,1903,1904,1906,1908,1918,1918,1922,1923,1924,1925,1926,1927,1927,1928,1930,1931,1932,1934,1935,1935,1936,1937,1937,1940,1941,1941,1942,1944,1945,1946,1947,2015}",-0.14877023
title,143316.0,"{(#1.2),(#1.1),(#1.3),(#1.5),(#1.4),(#1.6),(#1.9),(#1.10),(#1.7),(#1.8),(#2.1),(#1.12),(#1.13),(#2.2),(#1.11),(#1.15),(#2.3),(#2.4),(#1.16),(#2.6),(#2.5),(#3.6),Pilot,(#1.14),(#1.17),(#1.18),(#2.7),(#2.10),(#1.24),(#3.5),(#1.19),(#1.28),(#3.2),(#3.3),(#3.7),(#1.20),(#1.21),(#1.23),(#3.4),(#1.22),(#1.25),(#1.29),(#1.31),(#1.26),(#4.1),(#1.38),(#2.11),(#2.9),(#1.27),(#1.33),(#2.13),(#3.1),(#1.30),(#1.35),(#1.43),(#1.50),(#2.8),(#5.2),(#1.32),(#1.42),(#1.58),(#3.8),(#4.4),(#4.7),(#1.119),(#1.148),(#1.37),(#1.39),(#1.40),(#1.41),(#1.44),(#1.48),(#1.51),(#1.59),(#1.69),(#10.5),(#2.12),(#3.10),(#3.12),(#3.9),(#4.3),(#4.9),(#5.3),(#1.36),(#1.52),(#1.67),(#1.72),(#2.16),(#2.20),(#3.20),(#4.2),(#5.1),(#7.4),(#1.179),(#1.45),(#1.47),(#1.49),(#1.53),(#1.81),(#2.14)}","[0.0042666667, 0.0041, 0.0036666666, 0.0033333334, 0.0030333332, 0.0028333333, 0.0021333334, 0.0019333333, 0.0018333333, 0.0018, 0.0013333333, 0.0013, 0.0012333334, 0.0012333334, 0.0011, 0.0010666667, 0.001, 0.001, 0.0009666667, 0.0009, 0.00086666667, 0.00076666666, 0.00076666666, 0.00073333335, 0.0007, 0.0007, 0.0007, 0.00066666666, 0.00063333334, 0.00063333334, 0.0006, 0.0006, 0.0006, 0.0006, 0.00053333334, 0.0005, 0.0005, 0.0005, 0.0005, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00043333333, 0.00043333333, 0.0004, 0.0004, 0.0004, 0.00036666667, 0.00036666667, 0.00036666667, 0.00036666667, 0.00033333333, 0.00033333333, 0.00033333333, 0.00033333333, 0.00033333333, 0.00033333333, 0.0003, 0.0003, 0.0003, 0.0003, 0.0003, 0.0003, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00026666667, 0.00023333334, 0.00023333334, 0.00023333334, 0.00023333334, 0.00023333334, 0.00023333334, 0.00023333334, 0.00023333334, 0.00023333334, 0.00023333334, 0.0002, 0.0002, 0.0002, 0.0002, 0.0002, 0.0002, 0.0002]","{#1,(#1.145),(#1.2642),(#1.485),(#1.8145),(#14.19),(#2.51),(#4.10),(#6.121),(#9.31),(1973-10-20),(1989-06-27),(1995-12-29),(1999-02-16),(2001-01-27),(2002-10-21),(2004-05-29),(2005-11-18),(2007-03-27),(2008-06-10),(2010-03-10),(2011-07-12),(2012-07-20),""1/3 of Sorrow"",""A Clever Collie's Come-Back"",""A Surprising Powder"",""Aflevering 3941"",""Als Eerste"",""Antio, Sokrati"",Australia,""Bath H&C"",""Biao jie, ni hao ye! 4 zhi qing bu zi jin"",""Bohemios de aficion"",""Buscando al delator"",""Casta de braceros"",""Chkhikvta qortsili"",""Comedy Tonight"",Crossharbour,""Das inszenierte Verhängnis"",""Demolition 7"",""Die Donnervogelfrau - Winona LaDuke"",Doktor,""Dzien dobry i do widzenia"",""El plantón de Bea"",""Esa extraña pareja"",""Fast Trains"",""Flower Girl"",""Fubo sankan & sansen 2jikan special"",""Ghost Who's Coming to Dinner"",""Greg Mahan"",Hatchetman,""Hirusagari no jouji"",""How to Get a Guy to Notice You While You're Having Sex with Him"",""If... Drugs Were Legal"",""Insultin' the Sultan"",Jazz,""Junior vs. Senior: Part 2"",""Kid's Favorites: Part 1"",L'absente,""La rossa del Roxy Bar"",""Le leggi del destino"",Lift,""Love Sunk"",""Man! I Feel Like a Woman by Horlick's Diving Team"",""Mehmet Ali Agca: The Pope's Assassin"",Mistletoe,""Mule Train"",""Nate Berkus: Things That Matter"",""No codiciarás el tupper ajeno"",""Oh Alien"",""Our Sister Emily"",""Payneful Distance"",""Playa de Formentor"",""Problemas con la constructora"",Ramona,Reuzenbovist,""Rules of the Game"",""Say Cheese"",""Sex Knigge"",""Simple Classics"",""Song of Mexico"",Staz,Surpresaaaa!,Technologie-Transfer,""The Bank Raising"",""The Commuters"",""The Fatal Mistake"",""The Horny Bastard"",""The Lucky Bar"",""The Ornithophobia Diffusion"",""The Round Up"",""The Train from Czechoslovakia"",""This Is It! Final Show na malupit!/Katakot-takot na katatakutan"",""Top Nine Perform"",""Twin Bedlam"",""Unrepeatable Offers"",Virus,""Weekend Today"",""Wildcard Results Show"",""You Make Shake It for Money, But Leave Those Sexy Clothes at the Club, Honey!"",ìCàcaro!}",0.40945995
phonetic_code,11677.0,"{A1416,S3652,M2521,C6235,S2532,P43,A5625,M5236,C5252,S2,F6235,S2632,C2,S5352,B2,D2,B6252,M2362,M5,S5,P2,S1652,C5125,F6532,R5,A2362,G6323,L2353,M62,O1635,R3651,S2525,T2,A3153,C62,D52,F42,G6531,G6532,I5235,J2,M2,P6123,P6235,D5262,F6525,I5361,I5365,K5252,L2,M2361,P52,P6525,S1232,T6143,T6521,T6524,U5363,W6432,A25,A5252,B2312,C5235,C5352,C6252,D6252,E2165,G6425,P6232,R2,S,S1632,S3623,S3632,S5252,W4253,W6431,B2316,C52,D5,F54,F6352,G5,H2362,H5252,L2352,M2512,M2523,M5252,M5352,M6263,R5252,S2352,S25,S2652,S3,T2523,T6145,W6252,B2313}","[0.0012, 0.0011333333, 0.0011, 0.0010666667, 0.0009666667, 0.00093333336, 0.0009, 0.00086666667, 0.00083333335, 0.00083333335, 0.0008, 0.00073333335, 0.0007, 0.0007, 0.00066666666, 0.00066666666, 0.00063333334, 0.00063333334, 0.00063333334, 0.00063333334, 0.0006, 0.0006, 0.00056666665, 0.00056666665, 0.00056666665, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.00043333333, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.00036666667]","{A,A212,A3123,A4236,A5236,A5623,B1363,B2354,B3251,B4232,B4652,B6145,B6513,C1532,C2523,C413,C4614,C5263,C6164,C6521,D1613,D2516,D3265,D5236,D6165,E1232,E24,E5124,E6236,F2616,F4326,F5452,F6345,G2313,G42,G5641,G6452,H2151,H3213,H4353,H5356,H6363,I3254,I5263,J16,J4145,J563,K2561,K52,K6513,L163,L2523,L3514,L5352,M23,M2532,M3452,M4236,M5262,M6231,M6543,N2323,N3262,N5614,O2316,O5131,P1265,P2526,P4231,P53,P6241,P6514,R13,R2315,R263,R365,R5325,S1431,S2162,S252,S3151,S3526,S4163,S5165,S535,S6326,T2351,T3245,T52,T5431,T6252,T6536,U5353,V2621,V6135,W2352,W3523,W5151,W6325,Y5243,Z6562}",0.2197131
episode_of_id,14729.0,"{920989,269496,1381096,279634,1251514,1289444,1222059,397677,317585,599479,1453086,1430517,1575520,644229,670713,87087,55774,1594823,430310,1299750,371445,1358194,1427940,244974,1311401,513605,883614,539671,1285322,677246,764216,265276,517947,1121123,1265596,806955,593369,732001,1111328,1339195,438568,532680,997047,1115333,1478911,1539020,103385,426055,465315,760557,754434,1560856,1023114,184043,226535,309683,969967,1103534,1109154,1450041,536744,793763,1093211,1488641,65509,393250,934523,1062076,1244599,1597940,158683,313307,611044,620172,663503,1107602,1620196,49991,327288,607894,734108,741461,804109,988006,1466193,36138,117506,350271,762999,936813,992287,1057737,1185743,1243467,1249971,1343531,1461233,1477112,15711,39009}","[0.0031333333, 0.0031, 0.0026666666, 0.0022333334, 0.0021333334, 0.0021, 0.0020333333, 0.0019666667, 0.0017666667, 0.0017333333, 0.0015, 0.0014666667, 0.0014666667, 0.0014333334, 0.0014333334, 0.0013666666, 0.0013333333, 0.0012666667, 0.0012333334, 0.0012333334, 0.0012, 0.0012, 0.0012, 0.0011666666, 0.0011666666, 0.0011333333, 0.0010666667, 0.001, 0.001, 0.00093333336, 0.00093333336, 0.0009, 0.0009, 0.0009, 0.0009, 0.00086666667, 0.00083333335, 0.00083333335, 0.00083333335, 0.00083333335, 0.0008, 0.0008, 0.0008, 0.0008, 0.0008, 0.0008, 0.00076666666, 0.00076666666, 0.00076666666, 0.00076666666, 0.00073333335, 0.00073333335, 0.0007, 0.00066666666, 0.00066666666, 0.00066666666, 0.00066666666, 0.00066666666, 0.00066666666, 0.00066666666, 0.00063333334, 0.00063333334, 0.00063333334, 0.00063333334, 0.0006, 0.0006, 0.0006, 0.0006, 0.0006, 0.0006, 0.00056666665, 0.00056666665, 0.00056666665, 0.00056666665, 0.00056666665, 0.00056666665, 0.00056666665, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.00046666668, 0.00046666668]","{11,14095,29216,47896,68078,83650,99703,115554,129983,143983,157457,172759,188307,202373,216568,229317,242160,259832,290344,303362,326266,340977,356754,369576,385735,404928,418403,440787,453829,470222,483666,500508,521773,541948,554173,569511,584964,605634,625336,637677,655867,675702,692264,706769,722405,739617,754039,773677,788275,806424,821976,836203,850463,863402,875356,893456,909159,931082,947750,962796,976543,993793,1011655,1027169,1040983,1053927,1070603,1083999,1098216,1119953,1135236,1151014,1165465,1180709,1195143,1208663,1228472,1246440,1265547,1280273,1304884,1321075,1334492,1350728,1367337,1380666,1400971,1414124,1427559,1449705,1472449,1493309,1506400,1523140,1537998,1554804,1571622,1588075,1605183,1618622,2528073}",0.9944773
season_nr,65.0,"{1,2,3,4,5,6,7,8,9,10,11,12,14,13,16,17,15,18,21,19,20,22,23,27,24,25,28,26,32,29,30,31}","[0.23223333, 0.063, 0.0347, 0.023066666, 0.0157, 0.0122, 0.0090666665, 0.0071666664, 0.0052333334, 0.0048666666, 0.0033333334, 0.0026666666, 0.0023, 0.0019666667, 0.0017, 0.0015666666, 0.0014666667, 0.0011333333, 0.0011333333, 0.0010666667, 0.0010666667, 0.0008, 0.0007, 0.00063333334, 0.0006, 0.00056666665, 0.0005, 0.00046666668, 0.00043333333, 0.0004, 0.0004, 0.00033333333]","{33,33,33,33,34,35,36,36,37,37,38,39,40,40,40,42,42,44,44,44,46,48,49,50,51,52,54,55,57,59,60,64,2009}",0.3348085
episode_nr,1191.0,"{1,3,2,4,5,6,7,8,9,10,11,12,13,15,14,16,18,19,17,20,22,21,24,23,25,26,27,29,28,32,31,34,35,37,38,33,36,30,39,41,44,48,40,42,43,49,45,46,50,51,59,52,47,53,56,58,55,62,91,60,61,64,69,81,54,57,65,70,63,72,96,102,107,111,137,76,126,67,78,117,119,71,85,109,73,75,79,82,88,108,66,80,84,87,98,105,116,127,131,136}","[0.0271, 0.0265, 0.0264, 0.0223, 0.022, 0.020466667, 0.016366666, 0.0162, 0.015, 0.014266667, 0.0123333335, 0.012233334, 0.011266666, 0.008366667, 0.0071333335, 0.0066, 0.0065, 0.006, 0.0059, 0.005566667, 0.0050333333, 0.0044, 0.0038666667, 0.0037666666, 0.0034666667, 0.0033666666, 0.0028333333, 0.0023666667, 0.0023333333, 0.0020666667, 0.002, 0.0017666667, 0.0017, 0.0017, 0.0017, 0.0016666667, 0.0016333334, 0.0016, 0.0014, 0.0013, 0.0013, 0.0013, 0.0012, 0.0011666666, 0.0011666666, 0.0011333333, 0.0011, 0.0010666667, 0.001, 0.0009666667, 0.0009666667, 0.0009, 0.00086666667, 0.00086666667, 0.00076666666, 0.00076666666, 0.00066666666, 0.00063333334, 0.00063333334, 0.0006, 0.0006, 0.0006, 0.0006, 0.0006, 0.00056666665, 0.00056666665, 0.00056666665, 0.00056666665, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.00053333334, 0.0005, 0.0005, 0.00046666668, 0.00046666668, 0.00046666668, 0.00046666668, 0.00043333333, 0.00043333333, 0.00043333333, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.00036666667, 0.00036666667, 0.00036666667, 0.00036666667, 0.00036666667, 0.00036666667, 0.00036666667, 0.00036666667, 0.00036666667, 0.00036666667]","{68,77,86,90,93,95,99,101,104,110,113,118,121,124,128,132,135,139,141,143,145,148,150,153,155,159,161,165,168,171,174,177,180,184,188,192,196,203,207,212,216,220,227,234,242,249,269,284,295,308,324,341,374,415,463,493,527,561,645,688,740,806,857,925,1139,1216,1373,1506,1621,1841,1976,2100,2303,2561,2767,3183,3364,3536,3754,3981,4181,4351,4601,4854,5029,5300,5524,5836,6221,6912,7793,8452,8990,9621,9964,10132,10419,11314,12062,13822,15726}",0.036998734
