exponential_dist,modulo
1,1
2,2
2,2
3,3
3,3
3,3
4,4
4,4
4,4
4,4
5,5
5,5
5,5
5,5
5,5
6,6
6,6
6,6
6,6
6,6
6,6
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
12,2
12,2
12,2
12,2
12,2
12,2
12,2
12,2
12,2
12,2
12,2
12,2
13,3
13,3
13,3
13,3
13,3
13,3
13,3
13,3
13,3
13,3
13,3
13,3
13,3
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
16,6
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
17,7
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
18,8
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
21,1
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
23,3
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
24,4
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
25,5
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
26,6
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
27,7
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
34,4
34,4
